filename,original,gap,test
Twinkle_gap.mp3,17.1,5.7,11.4
Twinkle_gap.mp3,17.1,5.7,11.4
Twinkle_gap_+3ST.mp3,17.1,5.7,11.4
Twinkle_gap_-3ST.mp3,17.1,5.7,11.4
Mary_gap.mp3,16.4,5.5,7.3
Mary_gap.mp3,16.4,5.5,7.3
Mary_gap_+3ST.mp3,16.4,5.5,7.3
Mary_gap_-3ST.mp3,16.4,5.5,7.3
Jingle_gap.mp3,12.8,6.4,6.4
Jingle_gap.mp3,12.8,6.4,6.4
Jingle_gap_+3ST.mp3,12.8,6.4,6.4
Jingle_gap_-3ST.mp3,12.8,6.4,6.4
Row_gap.mp3,15,6,3
Row_gap.mp3,15,6,3
Row_gap_+3ST.mp3,15,6,3
Row_gap_-3ST.mp3,15,6,3











