filename,original,gap,test
Twinkle_gap_+15.mp3,16.4,5.8,9.0
Mary_gap.mp3,17.1,4.7,7.5
Row_gap_-15.mp3,15.0,4.0,3.5
Jingle_gap.mp3,9,2.0,6.5
Twinkle_gap_-15.mp3,16.4,5.8,12.2
Mary_gap_+15.mp3,17,4.8,6.7
Row_gap.mp3,15.0,4.0,3.0
Jingle_gap_-15.mp3,9,2.0,7.0
Twinkle_gap.mp3,16.4,5.8,10.4
Row_gap.mp3,15.0,4.0,3.0
Mary_gap_-15.mp3,17,4.8,6.7
Twinkle_gap.mp3,16.4,5.8,10.4
Row_gap_+15.mp3,15.0,4.0,2.0
Jingle_gap_+15.mp3,9,2.0,5.8
Mary_gap.mp3,17.1,4.7,7.5
Jingle_gap.mp3,9,2.0,6.5









